date,unemplyment_rate,interest_rate,gdp_growth,inflation_rate,Personal consumption expenditures,Housing Price Index
1/1/2004,5.7,2,3.41506,1.31625,10.40731,7.35725
4/1/2004,5.6,2.083333333,3.30151,1.78077,8.37243,8.65222
7/1/2004,5.433333333,2.5,2.56394,1.80816,6.96737,11.08639
10/1/2004,5.433333333,3,2.42105,2.1642,6.98623,10.33807
1/1/2005,5.3,3.5,2.95067,2.30769,6.38999,11.12332
4/1/2005,5.1,4,2.65617,2.14031,7.01776,11.94646
7/1/2005,4.966666667,4.5,2.49172,2.04668,6.37343,11.10033
10/1/2005,4.966666667,5,2.02729,2.10155,6.89332,11.23231
1/1/2006,4.733333333,5.583333333,2.26093,2.10526,8.08993,10.45916
4/1/2006,4.633333333,6,2.00382,2.46133,4.61369,8.12631
7/1/2006,4.633333333,6.25,1.35724,2.81784,3.99963,5.80829
10/1/2006,4.433333333,6.25,1.63148,2.66754,1.63717,4.52567
1/1/2007,4.5,6.25,0.57031,2.6269,0.00735,3.28371
4/1/2007,4.5,6.25,0.96661,2.2881,0.63616,2.17415
7/1/2007,4.666666667,5.75,1.42117,2.1193,-0.1009,0.20765
10/1/2007,4.8,4.916666667,1.18745,2.31034,-0.73877,-1.12789
1/1/2008,5,3.166666667,0.48163,2.38809,-4.04451,-2.2158
4/1/2008,5.333333333,2.25,0.42162,2.33625,-4.24218,-4.62092
7/1/2008,6,2.25,-0.69195,2.46667,-7.33742,-6.58059
10/1/2008,6.866666667,1,-3.42834,1.99951,-11.41396,-7.13772
1/1/2009,8.266666667,0.5,-4.14766,-0.35,-11.61954,-5.76438
4/1/2009,9.3,0.5,-4.84371,-0.39,-12.4007,-5.86939
7/1/2009,9.633333333,0.5,-3.97881,0.34,-9.78094,-5.35206
10/1/2009,9.933333333,0.5,-0.78559,0.85,-5.23914,-5.1979
1/1/2010,9.833333333,0.666666667,0.89124,1.34009,-1.18084,-7.02014
4/1/2010,9.633333333,0.75,2.06647,0.95261,1.73053,-5.36926
7/1/2010,9.466666667,0.75,2.52057,0.89634,1.43838,-1.88691
10/1/2010,9.5,0.75,1.99856,0.64557,2.51645,-1.84681
1/1/2011,9.033333333,0.75,1.28308,1.10595,1.72669,-3.41045
4/1/2011,9.066666667,0.75,1.01132,1.45118,1.64208,-4.23611
7/1/2011,9,0.75,0.19716,1.89818,3.06127,-4.44356
10/1/2011,8.633333333,0.75,0.8038,2.17432,3.42753,-3.31277
1/1/2012,8.266666667,0.75,1.87853,2.22848,4.69005,-1.60206
4/1/2012,8.2,0.75,1.65492,2.2529,2.40688,-0.29705
7/1/2012,8.033333333,0.75,1.87721,2.01773,2.22321,0.27241
10/1/2012,7.8,0.75,0.85783,1.949,2.17809,0.59019
